date,GDP,GDP_growth,GDP_per_capita,Inflation,Unemployment,Exports,Imports,Investment
2010,34936307980.063,6.84804939907013,1553.54887048143,1.2264561213548,6.607,11703514551.0641,11869039598.9273,21.6810545298756
2011,36693710801.3976,-5.37044724000579,1596.62826565998,4.9124339505245,7.144,12946046205.3421,10800620106.4234,16.5937189121478
2012,36302302877.2977,7.62041176451649,1546.9460184731,1.30451119915606,7.223,12699449618.4278,12821464752.2405,20.4508171031026
2013,42760235484.6093,10.7602131311256,1786.15862031324,2.58117037252936,4.255,12469056844.6353,12482686215.408,22.9098013286147
2014,48843005613.7091,9.37199994240375,1991.36539423404,0.448682076766141,3.274,13752704950.0207,12466424412.7778,22.6204558252908
2015,45815005169.2651,7.19494942728191,1814.71855088017,1.25149954781468,2.573,12532872784.936,11618672335.5396,23.3881494701744
2016,48407761036.8238,7.17275963956332,1862.59597081287,0.723178457513308,1.896,12073797174.534,10951634334.4131,23.1944017562697
2017,52512343996.69,7.41076242592504,1964.29930338343,0.685881065304603,3.272,13390010535.4842,12163812786.1254,20.8176586853442
2018,58522477786.6889,4.84314605889178,2130.86619381144,0.401297817263547,2.852,13281208105.2104,13661082703.3125,22.2527904990641
2019,60382894697.3557,6.72137167584978,2141.76836170115,0.790855512053661,2.401,13683059068.9034,13284189624.8842,21.9899384954404
2020,63027852805.4204,0.699728593494228,2179.72934832935,2.41252617189053,2.588,13231732415.0367,13203807830.5952,21.7428934104601
2021,72794636653.7793,7.06253713446816,2455.98127641148,4.15919657911798,2.623,16230487159.2541,16610109080.0793,23.5753170688856
2022,70922824813.9102,6.39988362730921,2333.37128301259,5.23352856100843,2.31,17211097451.1321,20283240452.5601,27.4853115364793
2023,80780312569.1646,6.60000045209176,2591.9659048119,4.36972254867474,2.263,18123337011.1187,21311191334.5497,24.5444478808032
2024,87113179149.284,6.0195346193922,2727.8935220697,3.45053028131019,2.273,22673827945.9702,21984729877.2984,20.8698505769184
2025,99773555666.1988,6.4999999999999,3050.10202257321,0.125038772593104,2.323,29717948364.1736,24716415280.5918,19.3019144967857
